Name,ApplicableClasses
Pset_DiscreteAccessoryStandardFixingPlate,IfcDiscreteAccessory
Pset_DiscreteAccessoryStandardFixingPlate,IfcDiscreteAccessoryType
Pset_DiscreteAccessoryTypeBracket,IfcDiscreteAccessory
Pset_DiscreteAccessoryTypeBracket,IfcDiscreteAccessoryType
Pset_DiscreteAccessoryTypeCableArranger,IfcDiscreteAccessory
Pset_DiscreteAccessoryTypeCableArranger,IfcDiscreteAccessoryType
Pset_DiscreteAccessoryTypeInsulator,IfcDiscreteAccessory
Pset_DiscreteAccessoryTypeInsulator,IfcDiscreteAccessoryType
Pset_DiscreteAccessoryTypeLock,IfcDiscreteAccessory
Pset_DiscreteAccessoryTypeLock,IfcDiscreteAccessoryType
Pset_DiscreteAccessoryTypeRailBrace,IfcDiscreteAccessory
Pset_DiscreteAccessoryTypeRailBrace,IfcDiscreteAccessoryType
Pset_DiscreteAccessoryTypeRailLubrication,IfcDiscreteAccessory_LUBRICATION
Pset_DiscreteAccessoryTypeRailLubrication,IfcDiscreteAccessoryType_LUBRICATION
Pset_DiscreteAccessoryTypeRailPad,IfcDiscreteAccessory
Pset_DiscreteAccessoryTypeRailPad,IfcDiscreteAccessoryType
Pset_DiscreteAccessoryTypeSlidingChair,IfcDiscreteAccessory
Pset_DiscreteAccessoryTypeSlidingChair,IfcDiscreteAccessoryType
Pset_DiscreteAccessoryTypeSoundAbsorption,IfcDiscreteAccessory
Pset_DiscreteAccessoryTypeSoundAbsorption,IfcDiscreteAccessoryType
Pset_DiscreteAccessoryTypeTensioningEquipment,IfcDiscreteAccessory
Pset_DiscreteAccessoryTypeTensioningEquipment,IfcDiscreteAccessoryType
Pset_DiscreteAccessoryWireLoop,IfcDiscreteAccessory
Pset_DiscreteAccessoryWireLoop,IfcDiscreteAccessoryType
Pset_DistributionBoardOccurrence,IfcElectricDistributionBoard
Pset_DistributionBoardTypeCommon,IfcElectricDistributionBoard
Pset_DistributionBoardTypeCommon,IfcElectricDistributionBoardType
Pset_DistributionBoardTypeDispatchingBoard,IfcDistributionBoard
Pset_DistributionBoardTypeDispatchingBoard,IfcDistributionBoardType
Pset_DistributionBoardTypeDistributionFrame,IfcDistributionBoard
Pset_DistributionBoardTypeDistributionFrame,IfcDistributionBoardType
Pset_DistributionChamberElementCommon,IfcDistributionChamberElement
Pset_DistributionChamberElementCommon,IfcDistributionChamberElementType
Pset_DistributionChamberElementTypeFormedDuct,IfcDistributionChamberElement
Pset_DistributionChamberElementTypeFormedDuct,IfcDistributionChamberElementType
Pset_DistributionChamberElementTypeInspectionChamber,IfcDistributionChamberElement
Pset_DistributionChamberElementTypeInspectionChamber,IfcDistributionChamberElementType
Pset_DistributionChamberElementTypeInspectionPit,IfcDistributionChamberElement
Pset_DistributionChamberElementTypeInspectionPit,IfcDistributionChamberElementType
Pset_DistributionChamberElementTypeManhole,IfcDistributionChamberElement
Pset_DistributionChamberElementTypeManhole,IfcDistributionChamberElementType
Pset_DistributionChamberElementTypeMeterChamber,IfcDistributionChamberElement
Pset_DistributionChamberElementTypeMeterChamber,IfcDistributionChamberElementType
Pset_DistributionChamberElementTypeSump,IfcDistributionChamberElement
