Name,template_type,applicable_entities,applicable_type_value,property_definitions
Qto_LightFixtureBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcLightFixture'],IfcLightFixture,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_MotorConnectionBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcMotorConnection'],IfcMotorConnection,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_OutletBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcOutlet'],IfcOutlet,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_ProtectiveDeviceBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcProtectiveDevice'],IfcProtectiveDevice,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_ProtectiveDeviceTrippingUnitBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcProtectiveDeviceTrippingUnit'],IfcProtectiveDeviceTrippingUnit,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_SolarDeviceBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcSolarDevice'],IfcSolarDevice,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'GrossArea', 'property_type': 'IfcQuantityArea'}]"
Qto_SwitchingDeviceBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcSwitchingDevice'],IfcSwitchingDevice,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_TransformerBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcTransformer'],IfcTransformer,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_AirTerminalBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcAirTerminal'],IfcAirTerminal,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'Perimeter', 'property_type': 'IfcQuantityLength'}, {'property_name': 'TotalSurfaceArea', 'property_type': 'IfcQuantityArea'}]"
Qto_AirTerminalBoxTypeBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcAirTerminalBox'],IfcAirTerminalBox,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_AirToAirHeatRecoveryBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcAirToAirHeatRecovery'],IfcAirToAirHeatRecovery,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_BoilerBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcBoiler'],IfcBoiler,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'TotalSurfaceArea', 'property_type': 'IfcQuantityArea'}]"
Qto_BurnerBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcBurner'],IfcBurner,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_ChillerBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcChiller'],IfcChiller,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_CoilBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcCoil'],IfcCoil,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_CompressorBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcCompressor'],IfcCompressor,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_CondenserBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcCondenser'],IfcCondenser,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_CooledBeamBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcCooledBeam'],IfcCooledBeam,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_CoolingTowerBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcCoolingTower'],IfcCoolingTower,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_DamperBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcDamper'],IfcDamper,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
